	243005
KESZTHELY	225855
140-150	142173
Black-and-white	208690
showrooms	44692
IIHS	191811
Teluk	129332
Khreissat	194810
Palangkaraya	117424
infrequently	79313
acquittal	12574
IIHF	62817
158.23	196740
Tohmatsu	102572
sweetness	88849
1.906	206344
1.904	170104
12nb	137136
5.4350	157996
Salvatore	21773
3.4635	131679
Marne	87096
Bakhit	137782
revelled	44424
captor	81450
goaltending	105446
baulks	129401
El-Yachourtu	186736
Az-Zahir	213644
Meggan	241936
ex-teammate	141680
Loizidou	135303
Romana	63301
Bustillos	195663
Romani	70945
ARRESTS	175070
Romano	8676
Medaaly	147107
Romans	31973
Grewal	125864
Castrogiovanni	240925
Teufel	91196
Romany	72083
Tyrving	200795
Zahiruddin	135743
Ita-Kor	140812
Bonifacio	40625
waterways	31151
emission	24113
Janssen	62844
Falvo	127468
5.2987	109972
5.2980	182474
citizenry	53911
1:01.53	233887
fluctating	177533
unhinge	132410
38,500	75661
tightly-guarded	40345
aginst	43925
primly	230428
Bekupulat	140046
Chernovol	147742
Mda	188456
Linate	73133
12:21	164473
Nechle	213464
Leko	119168
Manly	24035
Michavila	166932
punched	14291
Mdv	67077
concessionaire	173619
Tamil-rebel	201295
whimpering	201312
Vukic	152197
Chul-Seung	113622
Putera	86652
Interfet	240614
Summarised	107752
Leke	199439
Pentium-equipped	222462
disconsolate	74714
Zemalek	187078
Channar	234619
CFDT	24360
ingot	120244
Akhtar	14692
pruning	72821
Norikazu	164320
non-negotiable	27979
79.18	115389
1x1-1/2	186258
continues	1985
Gamco	194121
79.19	174758
Yugo-donors	176199
Malaysia-US	132637
Alshall	232250
Girlfriend	208754
shearers	207948
five-to-eight	167331
Gnjilane	84839
appealed	2605
Ayoub	71205
Khudorozhkina	209918
Taoist	55531
J.S.	69737
asymetric	168915
sixth-placed	52093
Otegi	118981
Muktar	93624
3,837.13	198790
market-minded	95441
56.53	184931
Bichon	26053
Title-holder	154637
thaliana	239467
Roker	50994
rear-area	145834
impermissible	90332
Taoism	164770
Kosho	163069
Koshi	164137
Wehrmacht	46822
rectors	130033
incessantly	59773
Karyne	225595
full-page	30071
rectory	111586
79.15	137684
abduction	6708
attitude	3433
Pakistan-India-US	91898
re-enforced	201994
Ulsan	21701
farmhands	184873
1977-1981	85228
Ivashenko	178523
Domodedovo	95806
Classics	78149
Zeller-Baehler	58370
684.50	219268
unpolluted	148856
7-79	186000
pulping	207719
anti-presidential	184904
reciprocating	68603
7-73	187654
7-74	196632
7-77	189406
7-76	169905
hairsbreadth	225956
marrs	234827
107.56	164440
3,149.7	241896
Ambassador	4345
mortage	115893
agitated	26604
Marzoug	201578
Pakistan-journalist-Omar	239748
renegotiations	57645
outlawing	21283
goal-keeper	232233
BARODA	133219
Vremia	163464
NGotty	197537
Singapore-maid	202588
reticent	26916
Albacete	25758
Charvet	63355
goal-but	213730
superliar	179128
war	166
pro-Yugoslav	214562
137.11	172987
coping	21004
Government-controlled	162163
labeling	47092
US-attacks-readiness	240993
Connections	184641
strangling	27720
Lomax	75876
Johson	208553
cratered	113919
authorisation	11825
shop-keepers	124762
SOFTWARE	196191
Argentina-IMF	90071
1938-39	148465
6,370	182771
Pozzi	41929
Haiki	240962
Pozzo	80465
Alaeddin	66316
Oldham	14407
grandmothers	86168
Houteman	83615
Tadjou	213139
Milnerton	196650
Yugo-Bosnia-road	160937
Beijing-picked	88302
UAE-controlled	203810
Brive-La-Gallarde	233790
blues	23566
scribe	127251
low-security	144091
zapper	206903
vehicle-carrying	226627
40.76	200178
Marinduque	62263
BUENA	159683
Quiniou	71676
184th	170761
40.73	165207
Chakib	55170
Ruapehu	53629
tyrannous	186619
ex-MANILA	190885
Kamerhe	56999
then-premier	106646
Henares	184418
pre-schools	170393
Syamsudin	144129
Ostro	19887
Viney	208576
Rhein-Main	81514
Vinet	30931
Auld	61583
Ostra	206250
Vines	53028
Viner	76553
pickaxe	114284
3-98	83221
Di-Gesic	207750
RCPI	113526
3-93	70149
3-92	92644
3-91	67850
3-90	99311
3-97	116125
3-96	113857
3-95	98477
3-94	87781
fianl	217993
ECB-euro-money	119640
looseness	135798
retained	5529
Senegal-Turkey	194669
give-and-take	70186
Italy-justice-Andreotti	148222
afflictions	176122
5.2175	176411
Mess	229169
retainer	84590
Lausanne	15169
1.8313	226545
unmanned	15141
Dubrovka	242543
re-captured	70742
Lezhnev	108290
Froggatt	135965
Sayed	18847
spillway	163274
1.1690	93333
1.1695	122320
Sayeh	132415
Sayer	183378
ironing	43380
kippa	71244
Pieterzs	216119
franked	109967
ex-Bridgetown	219711
fuller	32313
probity	48468
dipolomatic	171076
Assinovskaya	102023
Langan	23582
Burdov	166729
Blu	102475
flings	209632
Langat	120646
Beckenbauer	17163
MILWAUKEE	18683
re-integrate	143776
Furrer	163222
Ayyub	194743
Yankuba	218485
Moslem-majority	10650
decribing	137992
injued	225677
Blr	16122
Karpinski	66273
Kramer	44465
Hui-chuan	231791
Awasthi	104952
3.3845	154831
annihilation	38937
American-Vietnamese	159604
Eberstadt	168176
Balilo	166923
63-1/4	197958
Artioli	95722
0.012	188570
KALININGRAD	117239
Nowadays	38505
0.015	127598
63-1/2	145418
129.59	178373
Facilitation	105132
Fujumori	237063
129.50	95816
Rukundo	109817
Connell	31776
129.56	238607
1:00.77	233910
3.4395	200125
Kuranyi	147518
precipitating	50401
US-Oscars	152052
Jaffal	222748
Rockwell	27232
Kruidvat	167032
vulnerabilities	49288
refusenik	93665
6hrs	99950
directives	19966
Jaffar	34959
Lanus	37106
Leopold	34944
83.9	59240
83.8	91093
Gavric	231692
taxidermist	184181
perfomance	73639
Tease	203277
firsthand	74410
Draken	147694
83.3	69877
83.2	82882
Wards	156143
83.4	88801
83.7	88802
83.6	66488
ex-Colombo	103952
Drakes	29120
Wardi	156633
reforest	198489
346.80	173961
Warda	52109
Gendun	88119
Rafika	153842
tinderboxes	194776
booby-traps	69739
salinity	76045
Jundullah	100524
mo94bb	94683
3,233	206717
artistic	14165
Tadjiks	206056
dioxyde	162464
NATO-chrono	242744
Condemned	90220
Brute	183612
arested	148429
Hsi-fan	184473
Milanovic	35486
superceded	96076
Hisbah	166014
Ivanchenko	108262
Kingdom	8427
ACTUAL	243172
Kingdon	131526
Bliley	113968
Palleros	242390
spineless	69699
Muslin	100177
Chataut	221780
Muslim	1334
edelweiss	191638
five-country	56786
Musliu	134252
Wirtschaftswoche	85353
Bahadur	9948
Wroclaw	56969
oil-pricing	192165
financial-services	210257
half-dollar	185668
beams	33608
Pilcomayo	123637
ever-worsening	121880
storm-hit	187502
adheres	42736
adhered	24749
fatale	131752
Tulsen	146621
Thoyib	93256
Paulina	61113
Pauling	130348
profitablity	98496
non-Albanian	165301
tumult	72428
disregarding	42279
weaved	48846
Paulino	58515
preying	45614
Kapentanovic	207553
Diaoyutai	63508
categorization	235250
5hr	82714
weaver	185274
river	2630
baldly	232181
7-0-16-0	221456
Oezdemir	101602
Forex-Asia-late	166330
Angerer	164322
Issoufa	207483
2,588	186579
0.9050	128570
2,585	159890
Asavahem	158042
2,580	110797
Hainburg	118205
abled	221575
Minica	215431
Vody	36347
Angered	43060
Keyser	134818
Devier	203758
high-earning	200101
avowedly	90539
Gergely	147503
puncturing	94353
unsettling	35226
EBBC	235888
Soni	89155
Sonn	48358
Sono	32631
BDTC	174739
verbs	138001
acidic	150670
Abaunza	166129
gathered	2318
4.172	195136
Mickelberg	72300
giddiness	139356
Belet	61561
1.5858	137031
Belen	58914
Belem	68104
biochemical	53601
1.5853	218862
1.5850	90583
Luddite	190531
hailstones	94421
first-termers	142790
Dwoskin	176688
Zhiyuan	235696
government-brokered	82174
influential	4806
ICELAND	126597
korunas	75774
offending	13545
Tombs	64503
Tombo	205879
As-Sadaqa	217440
neo-Komsomol	194705
155.47	196339
Tombe	200933
approve	4008
Tomba	13934
Legislative	7751
Kaputin	148721
Shamil	16686
Napolitano	44609
MENINGITIS	231571
Ouili	218827
bejeweled	205623
Gierga	116865
poises	221684
camel-back	141049
modern-art	230258
Ardzinov	105924
Shakhim	153960
US-attacks-Iran-demo	166441
unemotional	109403
HP-Compaq	77413
trade-distorting	54701
591,000	197524
Egbema	215683
publishing	5920
Praca	230349
48og	143528
China-Hongkong	115283
convicted	1997
Brinster	190705
Scout	39732
breeching	155046
9-93	221506
562.77	211333
Weaker-than-expected	205558
3,046	183702
Machiko	157140
sweetheart	35326
proces	67641
silenced	18910
Syam	147845
Syal	241974
surfacing	43717
Syah	105632
silences	102448
silencer	50099
Guiness	76465
Sammudi	166876
Hamina	178206
rocket-engine	203696
Italian-owned	139234
sixes	11340
4-2-4	216300
reinstalled	73247
Kassas	192915
Kassar	66021
general-turned-presidents	154112
Khokhar	45393
Riadys	91819
taboo-breaking	149436
Lipi	174376
Kassai	76684
Yair	33630
circumstancial	152224
Kassam	48780
exHongKong	190257
Kassab	154592
TTennis-Chn	178530
635,000	136512
GMDAT	148058
Vojska	229621
multi-talented	111023
folksy	72724
seven-seat	223825
Galapagos	49898
pro-Pakistani	79077
Chunga	186052
dozen-odd	168566
Mikko	59479
HongKong-airport	160060
Rwanda-UN	98278
Chungu	72274
5:06	206879
Chungs	95785
Novopharm	88855
Birrento	240511
shorted	113298
Zambrotta	56108
shorten	26740
Lips	155340
Lertrat	193795
break-through	124821
reachable	63762
virtually	2897
Demongeot	90269
monetarily	162686
Japanese-French	221384
British-Australian	165876
91-84	196443
Cashiers	238811
91-82	168072
clearout	90217
al-Fassi	189011
gringos	141967
Gehe	110867
defeat	1177
deformity	92801
91-88	201292
Terrible	84490
5-77	131262
Suhrkamp	124143
5-75	98536
5-74	89079
5-73	99506
Lavinia	70539
5-71	98488
5-70	103454
British-enforced	155648
stack	36048
5-79	103950
5-78	103722
loan-linked	191674
BLACKBURN	79433
Grodas	115437
Sindhi-speaking	126010
Deviating	214725
105.50	60828
115.36	219068
Broadhurst	24159
Corica	138705
al-Arabi	67221
grower	46606
Philippines-banking	193536
116-109	224699
rebadging	210319
115.31	193804
Arrojo	61568
possibilty	58181
Landon	35747
HMNZS	145534
aroma	91392
Survivors	20333
casaulties	142212
COMET	86859
Rejoice	204643
marketeer	106202
Vodafone	11011
assaying	110688
muezzins	118998
Franci	202080
slogging	76455
Grozny	2075
Oufkir	57469
Yopougon	71558
repopulate	107819
socialistic	225378
Bisoye	235139
grapefruit	95479
Coulthard	10093
input	15641
151.65	168837
al-Saadi	55281
Anselm	206690
PML-Q	13140
Pene	157397
musketeers	112955
195m	182508
Announcer	197936
Nikolai	8733
tunnelling	89408
INOKOM	234898
0.6126	150866
falcon	101988
Zouaoui	174626
Longshot	187346
PML-N	23963
Tribals	216498
Hafr	71956
Mentheour	177981
Qala-i	62404
2.3783	201853
Clearwater	64546
consensus	3387
Orme	87289
Pragmatism	200184
64,100	143112
Pertile	191733
Leoncio	216601
cronies	34379
Mamanuca	237536
KANO	46757
Ando	42225
Andi	47102
Jabko	221344
Kachloul	178291
Sarfaraz	128187
Russia-Chechnya-ceremony	234901
Tiessen	111330
sponsorships	57274
Andy	5339
ratcheted	44744
Refah	29337
KANU	16580
Refal	153703
Cafunfu	148691
fourth-straight	177390
Perini	124650
Secularists	235115
mortuary	29971
broadband	23777
Sesto	155485
beef-derived	97900
Perina	97650
nine-billion-dollar	87173
Funchal	28981
linkages	33293
Collinelli	62949
Kusturica	46263
Counters	129087
ECOWAS-brokered	153793
temple	5309
two-faced	77184
Qingqi	134013
requiem	63870
Basharat	84940
Druzhba	85015
follicles	224596
fully-developed	182871
internationally-monitored	187641
Two-try	206279
25.46	139553
25.47	123239
Netsanet	134401
25.45	98642
25.42	97745
employability	164013
25.40	88067
25.41	122313
Obigarm	115328
25.48	107999
Hak-Roh	115236
1,202	114848
1,203	107022
Basilica	36550
1,201	114649
1,206	104661
1,207	91441
1,204	84609
1,205	68920
trounced	17563
1,031.5	222158
1,208	59437
1,209	94806
libero	62460
Pavicevic	153491
GYMNASTICS	52386
Marksmen	169410
trounces	123416
Ledet	33483
garbage	11593
Leder	124906
Arema	133956
65.69	235677
pock-marked	118211
Prabjot	178902
locus	114079
Ledee	165820
Lister	125104
troubleshooting	130329
repaid	19366
El'Atrous	223107
Al-Rashad	179879
sneaky	120276
Tillakaratna	91704
Tillakaratne	24960
sneaks	109446
submit	5014
custom	16439
thirdly	86014
off-form	62102
bridesmaids	84356
fund-raisers	79302
394.7	201849
Nieto	37965
:	44
Narmada	89514
Kanso	123492
Canoxy	129067
Shinuiju	161873
Tejjan	179205
Kansi	46181
57th-minute	184394
atop	12116
Amarnarth	140853
Nordeng	183870
Sanctuary	82537
scooterist	240821
atom	43476
Panfilova	200829
inducements	43906
Cordier	195602
SHEFFIELD	33949
Hkun	146935
Spall	208874
first-leg	21748
Socar	142940
slander	19417
1,541	134864
TALIBAN	68716
3:02	185410
child-rapist	191986
Excerpts	53444
Dermot	29056
36-16	150351
36-14	169566
Kanagawa	44016
36-12	101682
36-13	221276
36-10	158796
unikely	186401
eye-catching	60772
88.80	144709
canteen	46840
Mallinson	166941
88.88	172345
billion-dollar	4716
10-1-28-1	222203
re-established	22841
submersible	71909
95-96	187936
Theunisse	217656
redetain	208391
invalid	12106
Choh	241780
chinamen	175617
Presenting	27317
re-establishes	132681
condolence	19012
tenterhooks	47611
Fahnbulleh	139288
Demba	157987
x-clinched	86204
rabies	31741
provided	1560
Chol	73269
Dembo	60527
scrum	16931
Alperavicius	214279
Voest	168318
Uyttendaele	187271
Flexing	223254
Derby	7001
Demby	115251
terroritories	202242
ago	345
furthest	49382
Andriev	201320
race-off	136131
agg	43419
age	1967
aga	166539
pre-requisites	92822
Sylvestre	14273
Nigeria-UN	108415
teachings	16100
Cardiff	7693
agv	195639
agr	85259
Mercury	17930
chillis	128853
synonomous	134774
partial	4194
68.6	90300
effigy	20394
al-Ayyam	176436
Annon	123166
manageress	141402
Betsy	28290
Dnieprpetrovsk	197025
3,753.81	181542
Pailos	196824
gladly	37861
Lissouba	22164
gossip	27368
folkloric	106933
delegating	67571
one-half	34200
Moodys	155603
Ozdes	186349
Scarsella	172107
medal-and	215284
Russian-North	199704
Alder	219472
78-7	199928
Alden	159319
Quebeckers	20986
oceanfront	120367
Ozdem	124658
Ondiek	218420
Khordadian	98173
MARIA	95566
ill-trained	129141
SKorea-defect-reax	233004
armament	27895
provides	3575
torture	4104
Ayyush	104444
Tetsuya	31867
D'Anna	140399
Limoux	102244
Witbank	102549
Clown	124244
Femina	101878
Bastola	213266
Protassov	124663
animals	4567
Fixed	54652
continued	658
run-away	121933
timely	12221
mutinying	97212
Tallink	125822
9-116	222899
Collings	190758
time-but	220071
US-wide	187525
Heptathlete	234199
fraudulant	139426
rightback	90626
Collinge	133776
Primer	181645
Bruins	48977
Kunst	136154
weilding	150356
two-house	137103
TURKU	87637
PROBE	103633
Khoei	158453
Waffen-SS	105367
1,403.80	215113
Elmiger	213573
Vunipola	97629
Jamnagar	187884
7:00pm	173653
Annoni	111422
Nasharuddin	167184
odd	10906
ode	98844
Greenburg	209615
declaratory	234471
Japan-banking-economy	167057
fair-play	73490
TURKS	228287
PETERBOROUGH	167031
Pekli	173425
270x190mm	197719
Sigealdason	235366
toughens	46030
life-size	56710
Swayamsevak	94207
anti-fire	170499
21.23	220688
Ronny	35496
Transfield	67066
Meijs	220424
self-evidently	177220
al-Shimi	160479
respectively	3651
lead-off	109808
618-907	158559
Woodfull	198763
Ireland-NIreland	121257
46-1/2	170017
Summit-Croatia	161662
shot-in-the-arm	154131
Meije	222886
off-setting	158192
ABB-CE	224534
Meiji	35071
backsides	150002
46-1/8	149154
Kathua	57487
re-unify	95686
Lipa	130645
Giorgio	20776
Maalot	112909
1.46	26011
China-bank	193588
Yola	80595
Togo-vote	140652
CAREER	91182
Mujibur	21444
titanic	42527
plane-maker	110903
Denisenko	223651
Tiqvah	62442
18,300	97218
Gehrels	227890
Lidstrom	72219
thie	180838
double-A	131472
0.8916	166188
percent-owned	37846
Giorgip	147907
Astanin	220704
5.9375	49885
Futures-linked	92712
Daniels	27478
extricate	32153
Hafs	89529
Dunkley	136143
IASPS	134533
Daniell	159565
01sec	62177
Daniela	18005
Daniele	23705
Vintners	149260
best-prepared	160851
Msekwa	131815
Salum	135360
certificate	12900
197.3	197519
Salud	123186
encroachments	93219
197.6	173369
Chetty	104743
197.4	111380
197.5	141625
Asell	191175
1:18.91	216071
duplicate	32618
1:18.93	242962
Chetta	97470
Salut	135904
Nomination	76861
Aeon	70510
Choa	190231
laboured	33524
Lanna	136771
Choe	23010
Hoekman	185480
Ethio-Eritrean	166400
Choi	7179
isssue	149131
Kuttab	139283
Menzies	27138
Chom	148601
Chon	45619
Choo	31870
Chop	153913
shake-down	205427
Chor	73248
Perfetti	61439
labourer	36326
Chou	46499
Chow	29063
demobilization	28312
Choy	55909
Lanny	42891
Mergers	43172
charity	5739
Aucklander	130385
Kazuhiro	40108
Feedback	237710
this	57
thir	141741
Mideast-unrest-Nablus	179049
1.49	29141
Skaardal	43647
25x15mm	74972
nonethless	110790
1.45	19681
1.44	24402
1.47	25017
Ciric	101918
1.41	27922
1.40	18353
1.43	26179
1.42	24665
then-coach	196730
weaker	4793
reeds	99165
Kroon	57995
five-billion-dollar	46086
Milestones	129716
disease-resistant	173098
Valentinetti	167164
martyr	14399
interdenominational	141965
weaken	7796
Avinash	90232
Bladon	119237
Nebiolo	24933
receipients	181784
wares	27904
reimposes	157768
Asseri	128737
Sereqi	78025
Forwarders	227103
580.3	219424
reimposed	23843
Kocaoglu	179798
KeyCorp	172126
Uganda-Zaire	168265
Lalic	236152
Jarad	216364
singular	53063
Jarai	91496
RPR-UDF	74462
gardner	195530
Jaran	216730
Ballesteros	11418
nailing	50379
Venevision	118948
evry	197112
6,112	189366
executive-designate	36680
Bitterfeld	194970
centimetre-long	135394
re-allocated	182728
pyschological	52596
comedian-producer	237336
rhubarb	239196
MLPC	111684
1.6065	149013
776.8	156479
Snowfalls	207825
Buffeted	129358
Ikbala	222931
PRETO	143842
Ederson	242121
Val-Thorens	197216
Catholic	1723
Ayo	69860
Ayn	205936
Aye	25044
high-levels	198999
Aya	58920
14,800	73575
Pfau	223588
Rojanastien	167397
Praises	196015
Ayu	127630
Australia-stemcell	240458
year-earlier	18077
Ayr	36665
8-0-27-2	219881
Germany-Paraguay	194636
CHAKOTHI	178413
Serena	10499
25x35mm	186257
Iordan	135505
machine-tool	85570
Sereni	209627
pullover	109467
Vulic	198102
11th-century	183886
Xiandong	183418
Wawel	110459
2330GMT	199364
lawlessness	15243
Kazakh-based	237299
elites	40496
NKorea-missiles	215864
Jytte	110118
Kevan	63923
repercussions	11160
3.4304	230404
detergents	48120
bothering	35448
Masipula	128654
Cowley	34399
cage	18764
Radislav	97895
left-right	26711
Saj	157271
Sai	34459
Sah	130356
Sao	7538
San	1345
Sam	4841
Sal	41373
Demain	166087
undertaking	10152
Saa	12997
Unandi	184212
expell	48533
Squib	194808
Sae	131555
Sad	24726
Kooning	57786
Say	35820
Sax	125419
Sas	34190
Sar	23000
Inspections	65586
Gunalan	83809
Saw	38153
Balarabe	135079
Sau	69413
Sat	36318
enigmatic	27796
Najibi	209461
exacerbated	12773
IRFU	66374
doing	1555
Najiba	209543
upholders	228307
Adhoc	170968
Gharekhan	47509
IRFB	78984
Lehtola	79222
static	26241
672.0	234404
statio	197423
half-jokingly	185260
encamping	120902
Evergreen	24279
meals-ready-to-eat	175709
Mainstream	64026
107th	58689
Ousterley	168798
Tryfonos	231950
Soulama	226549
mini-car	95763
Charbonnages	187281
Ceylan	138420
remands	110387
IMFs	173749
hire-purchase	103883
Caxito	158830
22.89	126740
22.88	164974
22.87	110499
22.86	155291
22.85	96322
22.84	148594
tempo	21618
22.82	111175
Aydin	41780
22.80	75271
temps	90746
Boje	22974
tempt	34687
craving	68342
assiduously	61854
Kadiratu	225369
canters	223243
Penniston-John	219272
irking	108130
FORCES	35534
Altimira	223798
46,400	222660
Chalker	22229
Daberee	156596
Instrumentation	131119
Tokai-mura	195585
touring	9169
autographed	55256
leaf-green	152137
Spratley	169626
Naro	133077
126-0	206595
Nari	167893
al-Bashir	51606
chancellor-candidate	205474
three-way	10922
Nara	51638
bolivars	64574
Afghan-Taliban	79450
53.48	153224
Nedjelko	154233
Nylen	211569
Assal	229830
53.43	211257
53.42	119109
condensate	44616
53.40	138640
53.47	209701
53.46	134007
427-8	199542
Nylex	71009
Sugarland	192813
Dahran	72864
Jihad-Shiqaqi	223389
Swinburn	37317
Denig	214179
Musange	125736
Australia-governor	238609
rearmed	117108
fizzes	186634
Peete	66931
detains	29094
Hypo	127078
1.4600	144127
UNB	36359
-1.3	164486
1.4605	152226
